Subject	StroopEffect_RT	StroopEffect_ACC	StroopBin
12207	129.5448148148148	-0.07407407407407407	6.796296296296297
12211	106.7641509433962	-0.0185185185185186	5.888888888888889
12216	121.00562409288818	0.0185185185185186	5.407407407407407
12218	182.81712962962968	-0.11111111111111116	7.481481481481482
12220	74.59956865564345	-0.02777777777777779	5.425925925925926
12222	180.01150251617548	-0.02777777777777779	5.7407407407407405
12223	118.83262531860657	-0.17592592592592593	8.351851851851851
12225	294.18146417445485	-0.10185185185185186	8.88888888888889
12227	105.60920733817932	0.0092592592592593	5.092592592592593
12230	139.56481481481478	0	5.555555555555555
12232	94.29415992812221	0.0092592592592593	4.944444444444445
12235	173.81640058055143	-0.0185185185185186	5.851851851851852
12236	336.2590476190476	-0.04629629629629628	8.37037037037037
12237	226.213515456506	-0.02777777777777779	6.5
12238	100.57056603773594	-0.05555555555555558	6.351851851851852
12239	55.32393050625819	0.04629629629629628	5
12240	151.13650075414785	-0.01851851851851849	6.425925925925926
12241	34.83333333333337	0	5.203703703703703
12242	96.94415094339627	-0.05555555555555558	6.407407407407407
12243	203.82791548151158	-0.13888888888888884	7.30188679245283
12244	336.6085981308413	-0.06481481481481477	6.038461538461538
12245	270.9309462915601	-0.09259259259259256	8.333333333333334
12246	74.86538461538464	0.01851851851851849	5
12247	276.0974945533768	-0.05555555555555558	7.7407407407407405
12249	125.9441049604601	-0.02777777777777779	5.611111111111111
12250	163.6847619047619	-0.04629629629629628	7.111111111111111
12251	136.08270146358666	-0.00925925925925919	5.222222222222222
12252	31.69330373658886	-0.03703703703703709	4.666666666666667
12253	53.660377358490564	0	5.074074074074074
12254	336.71296296296293	-0.03703703703703709	8.092592592592593
12255	338.43873312564915	0.0092592592592593	6.018518518518518
12256	168.67203184492905	0.0092592592592593	4.648148148148148
12257	134.87464387464388	-0.03703703703703709	5.981481481481482
12258	334.26666666666665	-0.13888888888888884	9
12259	412.2386772106398	-0.02777777777777779	8.574074074074074
12260	123.99012519837765	-0.00925925925925919	5.888888888888889
12261	168.97004241781542	-0.07407407407407407	7.730769230769231
12262	189.0244897959185	-0.06481481481481477	6.944444444444445
12263	196.6515845392929	0.02777777777777779	5.703703703703703
12264	79.618404390038	-0.10185185185185186	6.5
12266	270.296048632219	-0.10185185185185186	8.037037037037036
12267	69.67722395292492	0.0092592592592593	4.833333333333333
12269	232.55873190397665	-0.04629629629629628	6.622641509433962
12270	163.21558350803627	-0.01851851851851849	6.037037037037037
12271	172.85563909774442	-0.2314814814814815	10.75925925925926
12272	-25.897067065197007	0.04629629629629628	4.055555555555555
12274	89.18144947980954	-0.00925925925925919	5.462962962962963
12275	48.650997150997114	0.03703703703703709	4.944444444444445
12280	302.12058252427187	-0.02777777777777779	7.185185185185185
12282	44.77777777777783	0	4.37037037037037
12284	22.106617647058783	-0.05555555555555558	6.055555555555555
12285	85.66705882352937	-0.01851851851851849	6.148148148148148
12287	110.40129280223618	-0.01851851851851849	5.907407407407407
12288	178.48130677847666	-0.01851851851851849	5.981481481481482
12290	47.644923629829236	0.0092592592592593	4.981481481481482
12291	95.23663551401864	-0.06481481481481477	6.296296296296297
12292	224.90269042627529	-0.01851851851851849	6.425925925925926
12293	197.43351648351643	-0.0092592592592593	6.7592592592592595
12294	355.7904761904763	-0.13888888888888884	9.61111111111111
12295	-12.565498652291126	0.0092592592592593	3.9074074074074074
12296	222.32075471698124	0	5.907407407407407
12298	122.72750362844693	-0.0185185185185186	5.944444444444445
12300	158.51689320388357	-0.02777777777777779	6.796296296296297
12301	259.0807127882599	0.01851851851851849	6.962962962962963
12302	241.37200325071103	-0.13888888888888884	8.814814814814815
12303	131.21586952538019	-0.04629629629629628	6.481481481481482
12304	117.53852201257871	-0.09259259259259267	6.666666666666667
12305	212.0925925925926	0	6.351851851851852
